"??3"
"?? (sec)","????3 (mm)"
0,221.46555825322
0.04,202.813527766482
0.08,191.886262193013
0.12,189.082189699027
0.16,193.956659119233
0.2,205.813845942952
0.24,223.144280196862
0.28,242.933234846071
0.32,261.108372652985
0.36,274.143268052825
0.4,280.378584871738
0.44,280.158625504889
0.48,275.117227339342
0.52,267.290941160385
0.56,258.476314137142
0.6,249.939178046524
0.64,242.39959676569
0.68,236.157251716562
0.72,231.245913420194
0.76,227.558632334274
0.8,224.928596826455
0.84,223.172405447007
0.88,222.108301012614
0.92,221.560446292735
0.96,221.357062679365
1,221.327330368089
1.04,221.299783618269
1.08,221.103448060175
1.12,220.572080601071
1.16,219.551579229804
1.2,217.910862692514
1.24,215.556977296222
1.28,212.45525180315
1.32,208.65420084769
1.36,204.312125958045
1.4,199.718790579313
1.44,195.303960050983
1.48,191.628784323041
1.52,189.36653512026
1.56,189.288422380688
1.6,192.262095374543
1.64,199.225382503062
1.68,211.000534166767
1.72,227.710785370892
1.76,247.726855365349
1.8,266.855998247405
1.84,279.131371869255
1.88,279.49803150561
1.92,266.83135748392
1.96,245.158924353776
2,221.7427818248
2.04,203.003762161423
2.08,191.972018279494
2.12,189.068996245297
2.16,193.85614382731
2.2,205.644307569711
2.24,222.938841228708
2.28,242.738437442046
2.32,260.965581278391
2.36,274.069038647562
2.4,280.361512678995
2.44,280.17059819976
2.48,275.127783120515
2.52,267.276999787755
2.56,258.425416879598
2.6,249.848009697014
2.64,242.270591580483
2.68,235.995389417851
2.72,231.056600269094
2.76,227.346684307023
2.8,224.697991792571
2.84,222.926455787671
2.88,221.849995185405
2.92,221.292804068657
2.96,221.083416622032
3,221.051492057682
3.04,221.026087288941
3.08,220.836690183851
3.12,220.317388034362
3.16,219.314234875835
3.2,217.696094178108
3.24,215.369678579412
3.28,212.299579731408
3.32,208.5329970539
3.36,204.226182999623
3.4,199.666102018683
3.44,195.279198081771
3.48,191.623218548903
3.52,189.368383460729
3.56,189.283353683886
3.6,192.233643661355
3.64,199.155819236348
3.68,210.874519507805
3.72,227.525571321211
3.76,247.508321929621
3.8,266.666119467092
3.84,279.048643861773
3.88,279.57515068451
3.92,267.058005391683
3.96,245.459689044712
4,222.020809032238
4.04,203.195319389127
4.08,192.05910312936
4.12,189.056942139608
4.16,193.756486590643
4.2,205.475187340688
4.24,222.733201035951
4.28,242.542849062596
4.32,260.821746242797
4.36,273.993948367018
4.4,280.344041979219
4.44,280.182681065539
4.48,275.138842353716
4.52,267.263791081658
4.56,258.375349986599
4.6,249.757698831606
4.64,242.142451536279
4.68,235.834408099352
4.72,230.868199159646
4.76,227.13568910093
4.8,224.468379003367
4.84,222.681524315454
4.88,221.592709547171
4.92,221.026152987632
4.96,220.810698843585
5,220.776487155843
